# Adversarial-review coverage ledger. Verified by scripts/check-review-coverage.sh,
# which derives the package set from `go list ./...` at run time and fails if
# any package has no row, or if any row names a package that no longer exists.
#
# package	depth	last_pass	evidence	status_note
#
# depth is one of:
#   full-adversarial   a dedicated adversarial pass on this package specifically
#                      (not a package merely swept up in a directory-wide scan),
#                      with real findings or a well-evidenced zero.
#   targeted           a real, citable pass exists but is narrower than a full
#                      adversarial dive — a single-target dispatch, a specific
#                      reproduction attempt, or a fact-finding read for one
#                      question rather than an open-ended search.
#   structural-only    reviewed only to confirm a structural property (e.g.
#                      "this is genuinely generated code, not hand-edited"),
#                      not adversarially reviewed for vulnerabilities.
#   none               no package-specific review pass exists. Requires a
#                      status_note (see below) explaining why.
#
# status_note (required when depth=none, one of):
#   example                  sample/demo code, not shipped in any build.
#   test-helper              test infrastructure, not production code.
#   main-wiring               thin binary entrypoint with no logic of its own.
#   generated                 generated code (use structural-only + evidence
#                             instead if a structural confirmation pass exists).
#   uninvoked-but-specified   no production caller executes this code, but a
#                             test elsewhere treats its content as a spec to
#                             check the live system against — uninvoked is not
#                             the same as unused. (Added because migrations/
#                             needed a state the original four could not
#                             express; extend the set again if a future
#                             package needs one this set still can't say.)
#   pending                   genuinely unreviewed, no special status — an
#                             honest gap, to be closed by a real pass.
#
# A claimed pass (depth != none) with an empty last_pass or evidence is
# rejected by the checker — a citation-free "full-adversarial" is exactly the
# inherited-assumption failure this ledger exists to replace. See
# docs/adversarial-review-coverage-2026-09-08 discussion (or the equivalent
# memory/notes) for how the prior text-match approach got this wrong twice.
#
internal/dynamic	full-adversarial	REMEDIATION-STATUS.md G48 (PR #1442, DNS-rebinding SSRF fix)	internal/dynamic/dynamic_s2_test.go:TestPostgresEngine_Issue_DialTimeRefusesDNSRebind, TestMySQLEngine_Issue_DialTimeRefusesDNSRebind; keyorix-private/adversarial-review/REMEDIATION-STATUS.md:119; also findings-core/core-dynamic-secrets.json covers awssts.go (medium, open)	-
internal/encryption	full-adversarial	baseline-2026-08-07/baseline/encryption-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/encryption-findings.json — MEDIUM (migrate-provider missing exclusive key lock vs rotate/rotate-kek siblings), LOW (DEK never wiped on Shutdown)	-
internal/envflag	none	-	-	pending
internal/evidencesink	full-adversarial	baseline-2026-08-07/baseline/evidencesink-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/evidencesink-findings.json — HIGH: webhook.go SSRF guard validates hostname once at construction, long-lived client never re-validates at dial time (DNS-rebinding TOCTOU)	-
internal/hardening	targeted	adversarial-review/1679-mlock-evidence.md (fact-finding pass, dated for #1679)	keyorix-private/adversarial-review/1679-mlock-evidence.md Q1 — direct read of internal/hardening/memlock.go's ApplyMemoryHardening, confirmed call site server/main.go:122-127, confirmed default posture is non-fatal on mlockall failure	-
internal/identity	targeted	findings-run2-part1-batch2/target-1642.json	keyorix-private/adversarial-review/findings-run2-part1-batch2/target-1642.json — real compiled Go reproduction of NFC/case-collision attempt against CreateUser/CreateRole at pre/post-remediation SHAs; internal/identity/identity_test.go:TestNewFoldedName_NFCCollisionResolved, TestNewFoldedName_CaseCollisionResolved	-
internal/k8ssync	full-adversarial	baseline-2026-08-07/baseline/k8ssync-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/k8ssync-findings.json (regression tracked in REMEDIATION-STATUS.md); internal/k8ssync/sync_test.go:TestReconcile_RevokedSingleKeyKeepsUnrelatedKeysInSameSecret, TestReconcile_RevokedAllKeysStillDeletesSecret confirm the multi-key-revocation-cascade fix	-
internal/keyfiles	targeted	commit 837856e2, PR #1762 (2026-09-06)	internal/keyfiles/registry_exhaustiveness_test.go:TestSourceScan_WriteCapableProviderTypesMatchRegistry, TestRegistry_IncludesWrappedKeyPathForEveryWriteCapableType — fixes four hand-copied FilePermSpec lists missing WrappedKeyPath	-
internal/license	full-adversarial	baseline-2026-08-07/baseline/license-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/license-findings.json — well-evidenced zero: signature verification, fail-safe/no-fail-open, anti-copy deployment binding, tier/feature spoofing all traced and confirmed closed	-
internal/mcp	full-adversarial	baseline-2026-08-07/baseline/mcp-findings.json (2026-08-07); fix landed as REMEDIATION-STATUS.md G44 (PR #1404)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/mcp-findings.json — 2 findings (unmetered keyorix_list_secrets, unframed secret value in response); internal/mcp/server_test.go:TestServe_SetMaxListCalls (explicit "#G44" comment)	-
internal/notary	full-adversarial	baseline-2026-08-07/baseline/notary-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/notary-findings.json — HIGH: Anchor() panics on malformed TSA response, empirically reproduced via go test -overlay with an 11-byte payload; internal/notary/notary_s17_test.go covers the sibling VerifyReceipt recover()	-
internal/rotation	full-adversarial	baseline-2026-08-07/baseline/rotation-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/rotation-findings.json — HIGH: GenerateUpstream unsynchronized list/create/delete race across awsiam/gcpsa/azure	-
internal/saml	full-adversarial	baseline-2026-08-07/baseline/saml-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/saml-findings.json — well-evidenced zero, read pinned crewjam/saml v0.5.1 source directly to verify signature/audience/replay validation	-
internal/securefiles	full-adversarial	baseline-2026-08-07/baseline/securefiles-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/securefiles-findings.json — HIGH: SecureDeleteFile follows symlinks, unlike every sibling primitive in the same file which uses O_NOFOLLOW	-
internal/storage	full-adversarial	findings-core/storage-factory.json; #1647 fix independently verified NOT_REPRODUCED	keyorix-private/adversarial-review/findings-core/storage-factory.json (STORAGE-FACTORY-001: security-relevant ALTER TABLE columns' Exec() errors silently ignored); keyorix-private/adversarial-review/findings-run2-part1-batch2/target-1647.json (verdict NOT_REPRODUCED, confirms prepareLocalStorageFile's 0600 file-mode fix holds)	-
internal/storage/models	full-adversarial	baseline-2026-08-07/baseline/storage-models-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/storage-models-findings.json — HIGH: cross-project group-share tenant-isolation bug in CheckGroupPermissions/GetUserGroups, full review_notes tracing model->core->store	-
internal/storage/remote	full-adversarial	baseline-2026-08-07/baseline/storage-remote-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/storage-remote-findings.json — HIGH: CheckRedirect host-only pinning enables https->http downgrade + Bearer-token leak (client.go:61) + 1 LOW	-
internal/storage/sqlitedialect	full-adversarial	baseline-2026-08-07/baseline/sqlitedialect-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/sqlitedialect-findings.json — 2 MEDIUM + 1 LOW (DropColumn silent-failure, HasConstraint unescaped LIKE pattern), upstream-diff-based review_notes	-
internal/storage/store	full-adversarial	baseline-2026-08-07/baseline/storage-store-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/storage-store-findings.json — MEDIUM: SoD check-then-grant TOCTOU, requireNoSoDViolation not transactional with the write	-
internal/testhelper	none	-	-	test-helper
internal/trust	full-adversarial	baseline-2026-08-07/baseline/trust-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/trust-findings.json — MEDIUM: purpose-isolation is registration-convention only, not cryptographically enforced, plus 3 lower-severity findings	-
migrations	none	-	migrations/migrations_test.go and internal/storage/factory_sqlite_pragma_test.go:69 both assert schema properties (ON DELETE CASCADE etc.) against the SQL files as a spec; no production code executes them	uninvoked-but-specified
server	full-adversarial	findings-server/main.json; fix landed as REMEDIATION-STATUS.md G12 (PR #1436) and G56 (PR #1410)	keyorix-private/adversarial-review/findings-server/main.json — 3 HIGH findings (dual initializeCoreService race on exclusive DEK flock, gRPC-side encryption.Service never Shutdown()'d, dynamicSweepEnabled desync); server/main_test.go's TestInitializeCoreService_DualConstruction_RacesExclusiveDEKLock and server/close_audit_forwarder_test.go:TestCloseAuditForwarder_ClosesWiredForwarder confirm fixes	-
server/grpc	full-adversarial	findings-server/grpc-server.json; fix landed as REMEDIATION-STATUS.md G41 (PR #1442)	keyorix-private/adversarial-review/findings-server/grpc-server.json — rate-limiter chain-ordering + stream-exemption findings; server/grpc/interceptors/rate_limit_test.go:TestStreamRateLimitInterceptor_EnforcesPerPrincipalBudget	-
server/grpc/interceptors	full-adversarial	findings-server/grpc-interceptors-auth.json; fix landed as G41 (PR #1442)	keyorix-private/adversarial-review/findings-server/grpc-interceptors-auth.json — IP-fallback rate-limit key includes ephemeral port (unbounded memory vector); stream RPC exempt from rate-limit/timeout; server/grpc/interceptors/rate_limit_test.go:TestStreamRateLimitInterceptor_FallsBackToIPForUnauthenticated	-
server/grpc/services	full-adversarial	baseline-2026-08-07/baseline/grpc-services-findings.json (2026-08-07) + findings-server/{grpc-audit-service,grpc-conversions,grpc-machine-identity-service,grpc-project-service,grpc-secret-service,grpc-user-service}.json	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/grpc-services-findings.json review_notes — every RPC traced for IDOR/BOLA, authorization chain to internal/core confirmed	-
server/http	full-adversarial	baseline-2026-08-07/baseline/http-handlers-findings.json (router.go in file scope) + landed fix-regression tests in server/http/	server/http/wire_actor_identity_forgery_guard_test.go:TestNoUnjustifiedActorIdentityForgery; server/http/raw_storage_bypass_guard_test.go:TestNoUnjustifiedRawStorageBypass	-
server/http/handlers	full-adversarial	baseline-2026-08-07/baseline/http-handlers-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/http-handlers-findings.json — 3 findings: clientSafe() sanitization skipped on project_members.go/secret_acl_handler.go/secrets_extend_expiring.go	-
server/http/handlers/contracttest	none	-	-	test-helper
server/middleware	full-adversarial	findings-server/middleware-{auth,client-ip,logger,scim}.json (2026-08-08), preceded by baseline-2026-08-07/baseline/middleware-findings.json	keyorix-private/adversarial-review/findings-server/middleware-logger.json — 2 HIGH (recovery.go:50 unredacted token in panic log; recovery.go:59 partial-response leak on late panic) plus baseline's SSO-callback-code-in-logs HIGH finding	-
server/proto/pb	structural-only	findings-gaps/proto-pb.json (2026-08-08)	keyorix-private/adversarial-review/findings-gaps/proto-pb.json — {"files_reviewed":2,"findings":0} confirming generated status; .gitattributes marks server/proto/pb/*.pb.go linguist-generated=true; server/proto/pb/generated_code_test.go:TestEveryFileIsGenerated	-
server/tools	targeted	findings-server/tools.json (2026-08-08)	keyorix-private/adversarial-review/findings-server/tools.json — [] (0 findings), a completed dispatched review pass, not an omission	-
server/validation	full-adversarial	findings-server/validation.json (2026-08-08)	keyorix-private/adversarial-review/findings-server/validation.json — HIGH: gRPC services bypass the `identifier` anti-homograph guard entirely (validator.go:440) + 4 MEDIUM/LOW	-
server/webui	full-adversarial	baseline-2026-08-07/baseline/webui-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/webui-findings.json — 0 findings, substantive review_notes tracing path-traversal/security-headers/SPA-fallback through embed.go, router.go, security_headers.go	-
.	targeted	baseline-2026-08-07/baseline/cmd-root-findings.json (main.go read as part of dead-code trace); #1647 fix verified NOT_REPRODUCED	main.go itself (17 lines, syscall.Umask(0o077) with inline #1647 comment); keyorix-private/adversarial-review/findings-run2-part1-batch2/target-1647.json verdict NOT_REPRODUCED for the companion internal/storage/factory.go fix this umask defends in depth	-
internal/audit/siem	full-adversarial	baseline-2026-08-07/baseline/audit-siem-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/audit-siem-findings.json — HIGH (server/main.go:862, Forwarder.Close() never wired into shutdown, silent audit-event loss on every graceful restart); HIGH race (spool.go:60, dual HTTP+gRPC spool instances clobber same file); low (spool.go:154, 4MiB scanner cap)	-
internal/bundle	full-adversarial	baseline-2026-08-07/baseline/bundle-findings.json (2026-08-07)	keyorix-private/adversarial-review/baseline-2026-08-07/baseline/bundle-findings.json — MEDIUM: bundle.go:648 readNamedEntry() never checks tar header declared Size before decompressing, pre-auth decompression-bomb DoS against `bundle verify`/`bundle import`; 2 lower findings	-
internal/cli	targeted	2026-08-07 (findings-unreviewed); 2026-09-06/07 (QUEUE.md)	keyorix-private/adversarial-review/README.md run-table row "findings-unreviewed"; QUEUE.md Group6 "Dead CLI entrypoint: status.PingCmd" traces internal/cli/main.go:75 AddCommand wiring directly. Root command-registration wiring directly traced; dual-mode-detection logic (modes.go) has no dedicated finding-level citation	-
internal/cli/accessreview	full-adversarial	2026-08-07/08 (findings-gaps, slug cli-audit)	findings-gaps/cli-audit.json#cli-audit-2 (accessreview.go:67, campaign.go:195) — MEDIUM: unsanitized terminal output lets a reviewed user spoof/hide their own recert row; fix status not reconfirmed	-
internal/cli/anomalies	full-adversarial	2026-08-07/08	findings-gaps/cli-audit.json#cli-audit-3 (anomalies.go:84), #cli-audit-5 (config.go:113 race) — both listed fixed in REMEDIATION-STATUS.md (terminal-escape-injection bundle; race item "Planned 8")	-
internal/cli/audit	full-adversarial	2026-08-07/08	findings-gaps/cli-audit.json#cli-audit-1 (audit.go:441) — fixed per REMEDIATION-STATUS.md terminal-escape-injection bundle (sanitizeForTerminal moved into internal/cli/common)	-
internal/cli/auth	full-adversarial	2026-08-07/08; re-verified 2026-09-09 (v0.92.0 release-gate check)	findings-gaps/cli-auth.json#cli-auth-001..004 (auth.go, mfa_stepup.go). cli-auth-001 CONFIRMED FIXED 2026-09-09 via executed httptest-based reproduction: PR #1410 (commit 5158f913) added WarnUntrustedCWDConfigServerURL, fires before credential use, pinned by internal/cli/auth/auth_remote_test.go:TestRunLogin_ServerFromExistingConfig. Residual: fix is warn-only (stderr), not a blocking confirmation gate — a non-interactive/CI caller that doesn't observe stderr still sends the real API key to the CWD-resolved server; filed as a new lower-severity follow-up, not a reopening of cli-auth-001 at HIGH	-
internal/cli/billing	full-adversarial	2026-08-07/08 (slug cli-billing)	findings-gaps/cli-billing.json#CLI-BILLING-001 (billing.go:147) — fixed per REMEDIATION-STATUS.md bundle	-
internal/cli/breakglass	none	-	findings-gaps/cli-breakglass.meta.json shows the batch was reviewed (10 files across a 4-package batch) but both filed findings attribute to sibling internal/cli/request; zero citable evidence breakglass.go itself was examined — genuine gap despite sitting next to a fully-reviewed internal/core break-glass path	pending
internal/cli/bundle	full-adversarial	2026-08-07/08 (slug cli-project)	findings-gaps/cli-project.json#cli-project-001 (bundle.go:179, HIGH — anti-downgrade bypass); dispatched in Wave 6 batch per REMEDIATION-STATUS.md, merge not independently reconfirmed	-
internal/cli/common	targeted	2026-08-07/08 (slug cli-auth, 17 files)	No direct finding against common/*.go itself; corroborated as the reference-correct pattern by name (ResolveActorID, CSVSafe, WarnInsecureFlag, NewRemoteClient/ResolveRemote, InitializeCoreService) across 15+ sibling findings; gained sanitizeForTerminal during remediation	-
internal/cli/compliance	full-adversarial	2026-08-07 (findings-unreviewed) + 2026-08-07/08 (cli-audit)	internal-cli.json#internal-cli-06 (csv_export.go, baseline.go, compliance.go — symlink write); findings-gaps/cli-audit.json#cli-audit-4 (permission_changes.go, digest.go) — low/medium unsanitized-terminal-output findings	-
internal/cli/config	full-adversarial	2026-08-07/08	findings-gaps/cli-auth.json#cli-auth-002/003 (config.go:104,199 — cleartext HTTP + SSRF via test-connection) — MEDIUM, not confirmed fixed	-
internal/cli/connect	full-adversarial	2026-08-07/08 (slug cli-connect)	findings-gaps/cli-connect.json#cli-connect-001 (isLoopbackHost, HIGH), #cli-connect-006 (error echo) — 006 fixed (sanitizeForTerminal); 001 (loopback-hostname spoof, high) not confirmed fixed	-
internal/cli/dynamic	full-adversarial	2026-08-07/08	findings-gaps/cli-connect.json#cli-connect-005 (dynamic.go:260, path injection) — low severity, no fix confirmation found	-
internal/cli/encryption	full-adversarial	2026-08-07/08 (slug cli-encryption)	findings-gaps/cli-encryption.json#cli-encryption-001..005 — cli-encryption-001 is a CRITICAL data-destruction bug, dispatched as one bundle per REMEDIATION-STATUS.md; merge not reconfirmed here	-
internal/cli/group	targeted	2026-08-07/08 (slug cli-rbac, 38 files) + undated cross-layer trace	cli-secret-004 names "internal/cli/group... already call common.ResolveActorID()"; findings-run2/part3-guard-guardLastProjectAdminGroup.json traces group/delete.go, remove-member.go and confirms they route through guarded core.DeleteGroup/RemoveUserFromGroup	-
internal/cli/hygiene	full-adversarial	2026-08-07/08	findings-gaps/cli-billing.json#CLI-BILLING-001 (hygiene.go:82-84) — fixed per REMEDIATION-STATUS.md bundle	-
internal/cli/invite	full-adversarial	2026-08-07/08 (slug cli-rbac)	findings-gaps/cli-rbac.json#cli-rbac-004 (resend.go:45), #cli-rbac-005 (revoke.go:50) — MEDIUM, both missing the requireInviteAuthority check send.go has; not confirmed fixed	-
internal/cli/legalhold	none	-	findings-gaps/cli-breakglass.meta.json — same 4-package batch as breakglass; both filed findings attribute to request/, zero citable evidence legalhold.go was examined; string "legalhold" appears nowhere else in the corpus	pending
internal/cli/license	targeted	2026-08-07 (baseline license/securefiles passes) + 2026-08-07/08 (cli-billing batch)	baseline-2026-08-07/baseline/securefiles-findings.json and license-findings.json both list internal/cli/license/license.go in files_examined; internal-cli.json#internal-cli-06 confirms correct SecureWriteFileSync usage — narrow file-write-safety lens, no general adversarial finding filed	-
internal/cli/machine	full-adversarial	2026-08-07 (findings-unreviewed) + 2026-08-07/08 (cli-pat)	internal-cli.json#internal-cli-04 (audit.go CSV); findings-gaps/cli-pat.json#cli-pat-machine-01..04 — HIGH: cli-pat-machine-01 (numeric-ID shadowing defeats revoke confirmation)	-
internal/cli/migrate	full-adversarial	2026-08-07/08	findings-gaps/cli-project.json#cli-project-002 (user_to_machine.go:100) — MEDIUM, suspended-admin --by gap, not confirmed fixed	-
internal/cli/notification	targeted	2026-08-07/08 (slug cli-project, 16 files)	findings-gaps/cli-project.json#cli-project-004 names "internal/cli/notification/channels.go:252-268" and confirms it correctly requires --confirm — positively confirmed via named comparison, not a dedicated finding	-
internal/cli/pat	full-adversarial	2026-08-07/08	findings-gaps/cli-pat.json#cli-pat-machine-pat-03 (pat.go, hygiene.go — terminal-escape injection) — MEDIUM, not confirmed fixed	-
internal/cli/project	full-adversarial	2026-08-07/08	findings-gaps/cli-project.json#cli-project-003 (env.go:124, confirmed STALE/already-fixed per REMEDIATION-STATUS.md), #cli-project-004 (env.go:117, --confirm gap, not confirmed fixed)	-
internal/cli/rbac	full-adversarial	2026-08-07 (findings-unreviewed) + 2026-08-07/08 (cli-rbac); re-verified 2026-09-09 (v0.92.0 release-gate check)	internal-cli.json#internal-cli-03 (export_matrix.go CSV); findings-gaps/cli-rbac.json#cli-rbac-001/002 (group_role.go, HIGH — bypasses SoD/last-admin-lockout guards), #003/006/007. cli-rbac-001 AND cli-rbac-002 CONFIRMED FIXED 2026-09-09 via executed reproduction with positive+negative controls: PR #1395 (commit 76dbc529) routes group_role.go's embedded path through core.KeyorixCore.AssignRoleToGroup/RemoveRoleFromGroup, which enforce requireGroupGrantNoSoDViolation and guardLastGlobalAdminGroupRole respectively. No committed regression test exercises either invariant through the real CLI entrypoint yet (existing tests call storage directly) — recommend landing one before closing in docs/security-closures.tsv	-
internal/cli/request	full-adversarial	2026-08-07/08 (slug cli-breakglass)	findings-gaps/cli-breakglass.json#CLI-BG-001 (list.go:24), #CLI-BG-002 (bulk.go:200) — MEDIUM, both no-authorization-check findings, not confirmed fixed	-
internal/cli/risk	full-adversarial	2026-08-07/08 (slug cli-billing)	findings-gaps/cli-billing.json#CLI-RISK-001 (risk.go:69) — fixed per REMEDIATION-STATUS.md terminal-escape-injection bundle	-
internal/cli/rotation	targeted	2026-08-07/08 (slug cli-connect, 16 files)	findings-gaps/cli-connect.json#cli-connect-005 names rotation.go/order.go/plan.go as the correctly-implemented numeric-ID comparison case — confirmed-clean via named comparison inside a sibling finding, not a full pass	-
internal/cli/run	none	-	DOWNGRADED 2026-09-09 (v0.92.0 release-gate check): the prior full-adversarial citation (findings-gaps/cli-billing.json#CLI-RUN-001) asserted a closure that does not exist. CONFIRMED LIVE by executed test with a real dylib-injection PoC: internal/cli/run/run.go's dangerousEnvVarNames denylist (added PR #1434/#1462) covers only LD_PRELOAD/BASH_ENV/NODE_OPTIONS/PATH/PERL5OPT/RUBYOPT/GIT_SSH_COMMAND (pinned by run_dangerous_env_test.go — that subset IS fixed) but omits DYLD_INSERT_LIBRARIES (macOS LD_PRELOAD equivalent, named in the original finding's own exploit scenario) plus LD_LIBRARY_PATH/LD_AUDIT/NODE_PATH/PYTHONPATH/PYTHONSTARTUP/PERL5LIB/ENV/IFS/HOME/SHELL. FIXED as of PR #1813 (2026-09-09): dangerousEnvVarNames replaced with a prefix-family design (dangerousEnvPrefixes + dangerousEnvExact), pinned by internal/cli/run/run_dangerous_env_test.go:TestDropDangerousEnvKeys_CoversFamiliesNotJustPriorInstances and TestIsDangerousEnvKey_LegitimateNamesSurvive — re-promote to full-adversarial once PR #1813 merges to main	pending
internal/cli/secret	full-adversarial	2026-08-07 (findings-unreviewed) + 2026-08-07/08 (cli-secret, deepest coverage: 55 files); re-verified 2026-09-09 (v0.92.0 release-gate check, reported first as CRITICAL priority)	internal-cli.json#internal-cli-01 (fix.go symlink), #internal-cli-06 (render.go/scan.go/export.go); findings-gaps/cli-secret.json#cli-secret-001 (update.go:68, CRITICAL — bypasses at-rest encryption). cli-secret-001 CONFIRMED FIXED 2026-09-09 via executed test with positive+negative controls (reverting the fix reproduced the exact plaintext-storage marker byte-for-byte): PR #1395 (commit 76dbc529) routes update.go's embedded path through common.InitializeCoreService(), the same AES-256-GCM wiring every other embedded write path uses. No committed regression test pins this fix yet — recommend landing one in docs/security-closures.tsv	-
internal/cli/share	full-adversarial	2026-08-07/08 (slug cli-connect); re-verified 2026-09-09 (v0.92.0 release-gate check)	findings-gaps/cli-connect.json#cli-connect-002 (create.go:53, HIGH — silent embedded-mode no-op) CONFIRMED FIXED 2026-09-09 via httptest reproduction + negative control: PR #1395 (commit 76dbc529) added the same common.NewRemoteClient() guard every sibling command uses. #003 (fixed via earlier #G10). #004 (HIGH — hardcoded actor ID=1 defeats real ownership check) CONFIRMED FIXED 2026-09-09 via reproduction with a real second actor identity + negative control: PR #1433 (commit 93c4a13e) routes create/update/revoke through common.ResolveActorID(). #007 (doc-only, no fix needed). No committed regression tests pin either 002 or 004 through the real CLI entrypoint yet	-
internal/cli/sod	none	-	findings-gaps/cli-breakglass.meta.json — same batch as breakglass/legalhold; string "sod" for this package never appears outside the target list; zero citable evidence sod.go was examined	pending
internal/cli/status	targeted	2026-09-06/07 (QUEUE.md) + 2026-08-07/08 (cli-billing batch)	QUEUE.md "Dead CLI entrypoint: status.PingCmd (status.go:21-27) — confirmed dead" with explicit 4-vector reachability check; only a hygiene/dead-code finding exists, no vulnerability-class finding for the live StatusCmd path	-
internal/cli/system	full-adversarial	2026-08-07 (findings-unreviewed) + 2026-08-07/08 (cli-auth)	internal-cli.json#internal-cli-02 (init.go:70, HIGH — admin/admin default); findings-gaps/cli-auth.json#cli-auth-005/006 (same file, refinement) — rediscovered independently across two passes, not confirmed fixed	-
internal/cli/trust	targeted	2026-08-07 (baseline trust/securefiles passes) + 2026-08-07/08 (cli-encryption batch)	baseline-2026-08-07/baseline/trust-findings.json review_notes reads internal/cli/trust/trust.go, confirms KeyRegistry.Add is only invoked at `keyorix trust keygen` time, never at runtime with attacker data; securefiles-findings.json confirms correct SecureWriteFileSync usage — narrow lens, no finding filed	-
internal/cli/usage	full-adversarial	2026-08-07/08 (slug cli-billing)	findings-gaps/cli-billing.json#CLI-BILLING-001 (usage.go:114) — fixed per REMEDIATION-STATUS.md bundle	-
